segment_id,gt_valence_mean,gt_arousal_mean,pred_valence,pred_arousal,gt_label_mapped,pred_label_from_reg,pred_label_from_clf,valence_abs_error,arousal_abs_error,label_match_reg,label_match_clf
3,3.5,3.3,2.4584556989089625,4.243023757801788,悲伤,悲伤,紧张,1.0415443010910375,0.9430237578017886,1,0
41,4.3,5.1,5.45072219652173,5.682027053526751,紧张,平静,悲伤,1.1507221965217305,0.5820270535267511,0,0
49,3.9,5.3,5.513204092822571,5.417597975930584,紧张,平静,快乐,1.613204092822571,0.1175979759305843,0,0
59,5.3,4.1,6.822091831771985,5.792859120618349,平静,放松,放松,1.5220918317719851,1.6928591206183494,0,0
70,4.4,3.6,4.161330333605941,4.294701880749127,悲伤,悲伤,平静,0.23866966639405973,0.6947018807491268,1,0
71,5.9,3.7,8.25648120084909,2.4814519058910167,平静,放松,放松,2.356481200849089,1.2185480941089835,0,0
74,3.0,4.3,5.016189212294275,4.7045383417132784,悲伤,平静,快乐,2.0161892122942753,0.4045383417132786,0,0
80,6.0,5.1,4.645375279647645,5.2980472242465755,放松,平静,平静,1.354624720352355,0.19804722424657584,0,0
86,5.4,5.6,5.939491244718685,7.368279460398181,平静,激昂,快乐,0.5394912447186844,1.7682794603981815,0,0
99,4.3,4.1,4.197707377157393,4.459746641752647,悲伤,悲伤,平静,0.1022926228426071,0.3597466417526469,1,0
105,6.5,5.0,5.588157148442805,5.273996760154702,放松,平静,放松,0.9118428515571946,0.2739967601547022,0,1
114,4.8,5.7,4.266736812601601,6.731885242540899,平静,紧张,紧张,0.5332631873983988,1.0318852425408984,0,0
119,4.3,3.2,3.9802156521639542,5.408369474205708,悲伤,紧张,悲伤,0.3197843478360456,2.208369474205708,0,1
134,5.4,6.0,2.954004523852636,5.571826104819873,激昂,紧张,平静,2.4459954761473646,0.4281738951801266,0,0
163,3.6,4.5,4.629890508317062,3.0642275952233233,悲伤,平静,放松,1.0298905083170617,1.4357724047766767,0,0
164,4.1,2.9,3.6899887149495116,3.7572250155080082,悲伤,悲伤,悲伤,0.410011285050488,0.8572250155080083,1,1
185,4.9,4.6,4.130703771572732,6.10855658802114,平静,紧张,紧张,0.769296228427268,1.5085565880211407,0,0
190,2.8,3.1,1.9662609604469208,3.234301054015331,悲伤,悲伤,紧张,0.833739039553079,0.1343010540153311,1,0
208,4.8,6.5,4.5205590253428,4.68484510205644,激昂,平静,激昂,0.2794409746571995,1.81515489794356,0,1
220,4.1,3.4,1.4603784784805787,3.482683167177564,悲伤,悲伤,悲伤,2.639621521519421,0.08268316717756408,1,1
221,4.3,3.4,3.6778334018292043,3.648806536780354,悲伤,悲伤,悲伤,0.6221665981707956,0.24880653678035403,1,1
231,4.1,5.6,5.2023331388529925,7.385491117969944,紧张,激昂,紧张,1.1023331388529929,1.7854911179699444,0,1
238,3.0,4.6,4.130868375366875,4.843013331840624,紧张,紧张,紧张,1.130868375366875,0.24301333184062468,1,1
244,4.3,4.2,5.683999716443365,3.3859265926907165,悲伤,平静,悲伤,1.3839997164433653,0.8140734073092837,0,1
248,3.4,3.7,4.357239158160341,5.0787179735900345,悲伤,紧张,平静,0.9572391581603408,1.3787179735900343,0,0
289,5.7,6.7,3.0425739562427374,5.143437709997988,激昂,紧张,平静,2.6574260437572628,1.5565622900020122,0,0
308,4.3,6.6,5.248074298263785,6.645303997547856,紧张,激昂,平静,0.9480742982637853,0.04530399754785641,0,0
313,3.6,5.3,3.5775270335135234,6.221348822595109,紧张,紧张,悲伤,0.022472966486476675,0.9213488225951094,1,0
328,5.2,4.2,4.949648521378723,6.496835292744432,平静,激昂,平静,0.25035147862127705,2.296835292744432,0,1
339,5.9,6.9,6.67244077293188,4.95445727489417,激昂,放松,快乐,0.7724407729318798,1.9455427251058302,0,0
352,5.5,4.5,5.678425176343204,7.6122408889518445,平静,激昂,放松,0.17842517634320387,3.1122408889518445,0,0
354,7.1,6.4,6.210888539074947,6.148018667232742,快乐,快乐,放松,0.8891114609250526,0.251981332767258,1,0
359,2.5,3.7,1.4734402798053554,4.035660615834286,悲伤,悲伤,悲伤,1.0265597201946446,0.33566061583428564,1,1
370,3.8,3.4,3.725280016442156,4.532170270306132,悲伤,紧张,紧张,0.07471998355784404,1.132170270306132,0,0
408,6.6,6.1,3.038658480816726,2.7282340620247347,快乐,悲伤,放松,3.561341519183274,3.371765937975265,0,0
425,7.1,6.8,4.220415553758066,9.0,快乐,紧张,激昂,2.8795844462419335,2.2,0,0
427,5.2,5.8,4.462900058692332,6.41948150202689,平静,紧张,激昂,0.737099941307668,0.6194815020268898,0,0
430,4.0,2.9,2.0757740886736933,3.7479439667404986,悲伤,悲伤,悲伤,1.9242259113263067,0.8479439667404987,1,1
440,5.3,6.3,6.465832464218857,6.402076144352781,激昂,快乐,放松,1.1658324642188571,0.10207614435278156,0,0
448,6.7,6.5,5.636181142856406,6.532721070798905,快乐,激昂,放松,1.0638188571435938,0.03272107079890496,0,0
489,4.6,5.2,5.097927925022725,6.166167008788266,平静,激昂,快乐,0.49792792502272576,0.9661670087882657,0,0
496,4.7,5.9,3.842234170099438,5.27057056746475,平静,紧张,悲伤,0.8577658299005622,0.6294294325352503,0,0
521,3.8,4.6,2.2832113697018075,5.223771591227468,紧张,紧张,紧张,1.5167886302981923,0.6237715912274684,1,1
524,3.3,4.0,5.683005550083085,5.330536270064899,悲伤,平静,紧张,2.3830055500830856,1.3305362700648988,0,0
525,4.3,4.8,3.955438347567669,4.374706242134494,紧张,悲伤,悲伤,0.34456165243233094,0.4252937578655054,0,0
536,5.1,4.5,3.875955213584093,4.442938506132201,平静,悲伤,悲伤,1.2240447864159067,0.05706149386779913,0,0
537,5.0,2.6,4.9768876813509895,4.9056470971411485,平静,平静,快乐,0.023112318649010533,2.3056470971411485,1,0
547,3.4,4.8,4.852255630041212,3.798882480137949,紧张,平静,悲伤,1.4522556300412117,1.001117519862051,0,0
560,2.9,4.6,1.9455403283704644,3.652103376099526,紧张,悲伤,紧张,0.9544596716295355,0.9478966239004736,0,1
561,6.9,7.0,4.25335411932199,5.753130085507654,快乐,紧张,紧张,2.64664588067801,1.246869914492346,0,0
568,5.4,3.1,4.929972997302673,4.512133713076969,平静,平静,紧张,0.47002700269732767,1.4121337130769693,1,0
584,2.5,2.4,3.814447295280826,3.274637081818245,悲伤,悲伤,悲伤,1.314447295280826,0.874637081818245,1,1
585,4.0,4.2,5.074324418775988,3.5035448401811866,悲伤,平静,悲伤,1.074324418775988,0.6964551598188136,0,1
632,4.2,5.4,6.394925787944381,5.734335136664996,紧张,放松,快乐,2.1949257879443804,0.33433513666499604,0,0
645,4.6,5.7,5.582470317663219,3.9626837546774416,平静,平静,平静,0.9824703176632195,1.7373162453225586,1,1
650,6.0,4.2,4.881830593702914,4.362766673288986,放松,平静,平静,1.1181694062970857,0.16276667328898586,0,0
652,3.2,4.3,3.7315330700815172,3.9308840444176973,悲伤,悲伤,悲伤,0.5315330700815171,0.3691159555823025,1,1
668,5.0,5.3,2.8471156509754847,2.990016200763661,平静,悲伤,平静,2.1528843490245153,2.309983799236339,0,1
713,4.9,6.3,5.150496699955344,4.488305088794049,激昂,平静,放松,0.2504966999553435,1.8116949112059508,0,0
723,6.5,7.2,6.722419183148778,3.639785689986164,快乐,放松,平静,0.2224191831487783,3.560214310013836,0,0
733,4.3,5.0,4.829013946120579,7.22565391270356,紧张,激昂,紧张,0.5290139461205792,2.22565391270356,0,1
735,4.3,4.9,4.72474434007289,5.579825105477166,紧张,平静,快乐,0.4247443400728903,0.6798251054771658,0,0
736,2.7,3.7,3.2649947251907108,6.762444935346407,悲伤,紧张,悲伤,0.5649947251907106,3.0624449353464067,0,1
739,6.2,6.9,6.160854039485149,6.828914709891323,快乐,快乐,激昂,0.0391459605148512,0.07108529010867759,1,0
759,6.7,5.9,3.4074074807091446,7.823990112684171,放松,紧张,放松,3.2925925192908556,1.9239901126841703,0,1
775,3.7,4.4,2.7672157062894733,3.644499181228045,悲伤,悲伤,紧张,0.9327842937105268,0.7555008187719552,1,0
806,6.4,6.6,5.746944850008138,7.3955311018407315,快乐,激昂,快乐,0.6530551499918626,0.7955311018407318,0,1
814,6.1,5.3,9.0,8.486142476507396,放松,快乐,快乐,2.9000000000000004,3.1861424765073965,0,0
818,5.9,6.8,6.770342226784362,6.089226964324806,激昂,快乐,放松,0.8703422267843619,0.710773035675194,0,0
823,4.8,4.8,5.0611643838245834,4.384416348225872,平静,平静,平静,0.2611643838245836,0.4155836517741278,1,1
851,5.0,4.4,5.114965555425264,4.88834552760747,平静,平静,悲伤,0.11496555542526377,0.4883455276074695,1,0
854,2.9,3.8,3.8335801488907313,4.488803580759609,悲伤,悲伤,紧张,0.9335801488907314,0.6888035807596093,1,0
858,4.4,4.5,7.061288300308015,6.822135357995332,悲伤,快乐,激昂,2.6612883003080148,2.3221353579953323,0,0
860,6.6,6.7,4.8034408942288715,4.544084035248852,快乐,平静,平静,1.796559105771128,2.1559159647511486,0,0
867,5.8,6.5,5.378437803793961,6.114224722275663,激昂,激昂,平静,0.42156219620603874,0.3857752777243366,1,0
874,6.3,4.4,5.351029778093293,6.813532559754588,放松,激昂,平静,0.9489702219067064,2.4135325597545876,0,0
879,5.6,6.0,4.609869916447085,5.2623138765976405,激昂,平静,放松,0.9901300835529145,0.7376861234023595,0,0
882,5.3,5.2,4.596532244472084,4.771228899561839,平静,平静,放松,0.7034677555279156,0.42877110043816113,1,0
892,3.9,2.9,4.633066925320498,5.016007683596703,悲伤,平静,悲伤,0.733066925320498,2.116007683596703,0,1
893,7.3,3.3,7.1534874827211965,3.31943850319112,放松,放松,放松,0.14651251727880332,0.019438503191120393,1,1
941,7.2,5.9,6.548210753880097,5.290260928627393,放松,放松,放松,0.6517892461199031,0.6097390713726076,1,1
955,3.8,5.6,3.1219871032260897,4.375252564618302,紧张,悲伤,平静,0.6780128967739101,1.2247474353816976,0,0
959,6.2,6.4,5.335957386823091,7.958534889700564,快乐,激昂,紧张,0.8640426131769088,1.5585348897005638,0,0
983,4.8,6.3,7.576695183784186,6.735838322192384,激昂,快乐,激昂,2.7766951837841862,0.4358383221923843,0,1
1015,5.9,6.3,3.5789574214429725,5.993284852081526,激昂,紧张,紧张,2.321042578557028,0.30671514791847354,0,0
1022,3.3,3.3,3.6296521479556545,4.5366988054620645,悲伤,紧张,悲伤,0.3296521479556547,1.2366988054620647,0,1
1026,3.7,2.8,2.5380989248414654,3.24053349721391,悲伤,悲伤,悲伤,1.1619010751585348,0.44053349721391033,1,1
1044,7.1,6.1,6.317876143030553,4.751576141074739,快乐,放松,放松,0.7821238569694469,1.348423858925261,0,0
1051,5.2,5.3,3.16070123414585,3.4287196724831173,平静,悲伤,平静,2.0392987658541504,1.8712803275168826,0,1
1058,4.0,5.8,4.023183607712652,7.046387890568405,紧张,紧张,激昂,0.023183607712652154,1.2463878905684052,1,0
1064,5.2,7.1,6.867503484208087,8.051456202735247,激昂,快乐,快乐,1.667503484208087,0.9514562027352476,0,0
1075,6.4,6.6,4.873629984130701,6.685314240244605,快乐,激昂,平静,1.5263700158692997,0.08531424024460499,0,0
1078,6.8,6.0,7.779449314442445,5.216281215304683,快乐,放松,平静,0.9794493144424452,0.7837187846953171,0,0
1116,5.7,3.0,4.429054747871142,3.508093966245738,平静,悲伤,平静,1.2709452521288584,0.5080939662457382,0,1
1128,3.7,2.7,7.252501346180479,2.1988004861989823,悲伤,放松,平静,3.5525013461804784,0.5011995138010179,0,0
1143,3.8,5.1,6.2077219416449605,4.854152100814136,紧张,放松,放松,2.4077219416449607,0.24584789918586392,0,0
1149,4.0,2.6,4.521921187650422,1.06383545497923,悲伤,平静,悲伤,0.5219211876504222,1.5361645450207702,0,1
1174,3.6,3.3,3.880084311456039,1.6510497385928122,悲伤,悲伤,悲伤,0.28008431145603874,1.6489502614071876,1,1
1182,2.7,2.2,3.560504432620681,2.5749578618010505,悲伤,悲伤,悲伤,0.8605044326206808,0.3749578618010503,1,1
1183,3.7,3.2,6.133028565971905,2.7156276026527615,悲伤,放松,平静,2.433028565971905,0.4843723973472387,0,0
1191,4.4,2.6,4.378287180293242,2.7808412375817815,悲伤,悲伤,悲伤,0.021712819706758424,0.1808412375817814,1,1
1192,3.7,2.9,2.684420629496138,2.539236627754962,悲伤,悲伤,悲伤,1.015579370503862,0.36076337224503785,1,1
1204,6.6,5.5,6.411615673585379,6.219941792030844,放松,快乐,放松,0.18838432641462077,0.719941792030844,0,1
1206,5.1,5.8,4.895429778072584,5.838775360549035,平静,平静,平静,0.20457022192741547,0.0387753605490353,1,1
1227,4.7,5.7,4.635015685618792,6.657662864088653,平静,激昂,激昂,0.06498431438120811,0.9576628640886531,0,0
1229,5.2,4.3,5.042331692718792,4.46303987034295,平静,平静,平静,0.15766830728120862,0.1630398703429501,1,1
1233,5.5,4.8,5.662664968721727,4.35955836999871,平静,平静,激昂,0.1626649687217272,0.4404416300012901,1,0
1236,4.5,4.9,5.5869933964531615,5.6464771475919004,紧张,平静,平静,1.0869933964531615,0.7464771475919001,0,0
1243,5.8,5.7,5.544901713804178,6.0240626162968915,平静,激昂,紧张,0.255098286195822,0.32406261629689137,0,0
1253,4.1,3.0,2.140942308695155,4.287845269837808,悲伤,悲伤,悲伤,1.9590576913048445,1.287845269837808,1,1
1255,3.4,2.0,4.080599942775867,3.5602012308962863,悲伤,悲伤,悲伤,0.6805999427758667,1.5602012308962863,1,1
1280,5.9,5.4,6.067743604858316,5.231225453916802,平静,放松,平静,0.16774360485831608,0.1687745460831982,0,1
1286,3.8,3.0,3.8616191889269214,3.170051015065977,悲伤,悲伤,悲伤,0.06161918892692153,0.17005101506597686,1,1
1309,6.5,7.4,3.8556825695218704,6.585777445659702,快乐,紧张,平静,2.6443174304781296,0.8142225543402981,0,0
1311,4.1,3.5,4.359167770489823,2.13328195101359,悲伤,悲伤,悲伤,0.25916777048982365,1.3667180489864101,1,1
1315,7.0,6.4,7.11879808765384,5.921337837131228,快乐,放松,平静,0.1187980876538397,0.4786621628687726,0,0
1325,5.9,5.8,6.209467207014996,5.479011941375862,平静,放松,快乐,0.30946720701499597,0.32098805862413826,0,0
1326,6.1,5.0,6.851335793621056,3.258769324114572,放松,放松,快乐,0.7513357936210561,1.741230675885428,1,0
1330,5.7,7.2,8.984184359600526,9.0,激昂,快乐,快乐,3.284184359600526,1.7999999999999998,0,0
1353,5.3,6.4,6.044040649286835,4.433399330642607,激昂,放松,快乐,0.744040649286835,1.9666006693573932,0,0
1354,4.6,2.0,2.4876726044756348,5.820241945824133,平静,紧张,悲伤,2.112327395524365,3.820241945824133,0,0
1372,4.8,5.2,4.3924432005710425,4.892549350534123,平静,紧张,平静,0.4075567994289573,0.30745064946587686,0,1
1376,7.0,6.6,7.687743637664157,7.569638640720043,快乐,快乐,快乐,0.6877436376641572,0.969638640720043,1,1
1384,5.8,5.4,4.756146439104719,3.340608133456441,平静,平静,平静,1.0438535608952808,2.0593918665435593,1,1
1400,5.6,5.8,7.357302885089862,6.2588529357051925,平静,快乐,快乐,1.757302885089862,0.4588529357051927,0,0
1401,5.8,5.3,5.999698914061414,5.748521216722016,平静,平静,放松,0.19969891406141382,0.44852121672201584,1,0
1405,3.7,2.2,2.9517671946913655,1.4671703729355374,悲伤,悲伤,悲伤,0.7482328053086347,0.7328296270644628,1,1
